"authon","Exercise","EXERCISETYPE","MAJORMUSCLE","MINORMUSCLE","Example","Notes","Modifications","equipment"
"piotr","Anti-Rotation","WEIGHT","CORE","OBLIQUE","exercise_video/06.gif","Keep your core tight and shoulders far from your ears.","Easier: No Weight on the Bar","Landmine"
"piotr","Arnold Press","WEIGHT","ARMS","BICEP,SHOULDERS","exercise_video/giphy-2.gif","","","Dumbbells"
"piotr","Battle Rope Wave","PLYO","ARMS,FULL_BODY","SHOULDERS","exercise_video/giphy.gif","","","Rope"
"piotr","Battle Rope Wave + Burpee","PLYO","FULL_BODY","","exercise_video/4.Alternating-Waves3.gif","","Harder: Add Pushup to Burpee or Jump in the air after Burpee","Rope"
"piotr","Bench Press","WEIGHT","ARMS","CHEST","exercise_video/bench-press-gif-2.gif","Bar + 5LB","","Bar"
"piotr","Bicep Curl","WEIGHT,MACHINE","ARMS","BICEP","exercise_video/3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif","Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.","","Bar, Dumbbells, Cable"
"piotr","Bicycle Crunch","WEIGHT","CORE","","exercise_video/200.gif","The lower the ""straight"" leg is to the ground the more challenging this exercise is.","Easier: Move Slower, Legs higher in the air_x005F_x000D_",""
"Harder: Keep shoulder blades off the ground entire time""","Body Weight","","","","","","",""
"piotr","Bounds","CARDIO,LAPS","FULL_BODY,LEGS","OUTER_THIGH,GLUTES","exercise_video/1ea07303-2e87-4876-8e68-8944edd42173.gif","Do laps across the room of these.","Easier: Don't jump as high/far_x005F_x000D_",""
"Harder: Touch the ground with your opposite hand after each jump""","Body Weight","","","","","","",""
"piotr","Box Jumps","PLYO","FULL_BODY","","exercise_video/giphy.gif","Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up_x005F_x000D_",""
"Harder: Jump Faster and higher boxes""","Body Weight","","","","","","",""
"piotr","Box Toe Touch","CARDIO","LEGS","GLUTES","exercise_video/workoutanniversarygif9570.gif","","Easier: Don't use a box, just practice toe touch without_x005F_x000D_",""
"Harder: Increase Speed""","Platform","","","","","","",""
"piotr","Broad Jump","PLYO,LAPS,CARDIO","LEGS","GLUTES","exercise_video/Broad-Jumps-180-Degree-Twist.gif","You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo","","Body Weight"
"piotr","Bulgarian Split Squat","WEIGHT","LEGS","HAMSTRINGS,QUADS","exercise_video/erin_stern_demonstrates_bulgarian_split_squat.gif","Use Single 30LB Dumbbell or an Olympic Bar","","Bar, Dumbbells"
"piotr","Burpee","PLYO","FULL_BODY","","exercise_video/Burpee.gif","Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup_x005F_x000D_",""
"Harder: Speed""","Body Weight, Bosu Ball","","","","","","",""
"piotr","Burpee Broad Jump","PLYO,LAPS","FULL_BODY","","exercise_video/BurpeeBroadJump-1.gif","Do laps of these across the room if you have the space.","","Body Weight"
"piotr","Butt Kickers","CARDIO","LEGS","GLUTES","exercise_video/1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif","Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster","Body Weight"
"piotr","Cable Woodchop","WEIGHT","CORE","","exercise_video/horizontalwoodchop.jpg ","The movement should originate from your core not your shoulders. The arms are just the vessel","","Cable"
"piotr","Calf Raise","WEIGHT","LEGS","CALVES","exercise_video/Calf-Raises-Basic.jpg ","Play around with foot placement, some gyms also have machines for this","","Dumbbells, Machine"
"piotr","Chest Press","WEIGHT","ARMS","CHEST","exercise_video/Dumbbell-Floor-Press.gif","You can do this lying on the ground, or on a bench top","","Dumbbells"
"piotr","Close to Wide Grip Burnout","WEIGHT","ARMS","BICEP","exercise_video/4.gif","","","Dumbbells"
"piotr","Compass Jump","CARDIO","FULL_BODY","","exercise_video/3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif","These can also be done with both feet on the ground.","Easier: Both feet on the ground, or stepping instead of jumping","Body Weight"
"piotr","Crab Crawl","CARDIO,LAPS","FULL_BODY","","exercise_video/0d08fe37-5714-486b-a786-fea0f0cfbea7.gif","","","Body Weight"
"piotr","Curtsey Lunges","WEIGHT","LEGS","INNER_THIGH","exercise_video/curtsy_lunge_barbell.gif","","","Dumbbells, Bar"
"piotr","Deadlift","WEIGHT","LEGS","HAMSTRINGS","exercise_video/deadlift-gif-side.gif","Bar + 45LB","","Bar"
"piotr","Deficit Squat","WEIGHT","LEGS","GLUTES","exercise_video/dumbell-squat-from-deficit-front-view.png ","","","Platform"
"piotr","Donkey Kick","WEIGHT","LEGS","GLUTES","exercise_video/_KneelingGluteKickBackSelf2_1_10.gif","","Easier: Don't use weights_x005F_x000D_",""
"Harder: Use heavy weights""","Dumbbells, Band, Body Weight","","","","","","",""
